timestamp,pid,name,username,cpu_percent,memory_percent,classification
2025-06-13 09:06:44,18540,svchost.exe,unknown,0.0,0.06732081148423562,Legítimo
2025-06-13 09:06:44,18544,svchost.exe,NATTBELL\natis,0.0,0.1826480912084025,Legítimo
2025-06-13 09:06:44,18596,svchost.exe,unknown,0.0,0.19190439910284268,Legítimo
2025-06-13 09:06:44,18904,Notion.exe,NATTBELL\natis,0.0,0.8500497556917791,Sospechoso
2025-06-13 09:06:44,18944,svchost.exe,unknown,0.0,0.045042506132000296,Legítimo
2025-06-13 09:06:44,18964,CodeSetup-stable-dfaf44141ea9deb3b4096f7cd6d24e00c147a4b1.tmp,NATTBELL\natis,0.0,0.29566736765180346,Sospechoso
2025-06-13 09:06:44,19236,chrome.exe,NATTBELL\natis,0.0,0.47442829543996856,Legítimo
2025-06-13 09:06:44,19316,msedge.exe,NATTBELL\natis,0.0,0.19248747361587829,Sospechoso
2025-06-13 09:06:44,19324,msedgewebview2.exe,NATTBELL\natis,0.0,0.05216087414530995,Sospechoso
2025-06-13 09:06:44,19460,WmiApSrv.exe,unknown,0.0,0.03185044527456979,Sospechoso
2025-06-13 09:06:44,19552,svchost.exe,unknown,0.0,0.13223644060219936,Legítimo
2025-06-13 09:06:44,19656,mc-extn-browserhost.exe,NATTBELL\natis,0.0,0.09433659725488519,Sospechoso
2025-06-13 09:06:44,19720,svchost.exe,NATTBELL\natis,0.0,0.24625180267203614,Legítimo
2025-06-13 09:06:44,19768,Code.exe,NATTBELL\natis,0.0,0.8693883937074598,Sospechoso
2025-06-13 09:06:44,19796,ms-teams.exe,NATTBELL\natis,0.0,0.09987580512872342,Sospechoso
2025-06-13 09:06:44,19904,rsAppUI.exe,NATTBELL\natis,0.0,0.5742312162545625,Sospechoso
2025-06-13 09:06:44,19936,chrome.exe,NATTBELL\natis,0.0,1.7364444893627773,Legítimo
2025-06-13 09:06:44,20172,svchost.exe,NATTBELL\natis,0.0,0.06185448792452684,Legítimo
2025-06-13 09:06:44,20180,RuntimeBroker.exe,NATTBELL\natis,0.0,0.08799566192562301,Sospechoso
2025-06-13 09:06:44,20232,chrome.exe,NATTBELL\natis,0.0,0.2119475854884415,Legítimo
2025-06-13 09:06:44,20260,mc-fw-host.exe,NATTBELL\natis,0.0,0.21282219725799492,Sospechoso
2025-06-13 09:06:44,20680,msedgewebview2.exe,NATTBELL\natis,0.0,0.3613604294538147,Sospechoso
2025-06-13 09:06:44,20724,Code.exe,NATTBELL\natis,0.0,1.292992027427825,Sospechoso
2025-06-13 09:06:44,20844,ITSMAgent.exe,unknown,0.0,0.11287350781514205,Sospechoso
2025-06-13 09:06:44,20964,ApplicationFrameHost.exe,NATTBELL\natis,0.0,0.561233513568144,Sospechoso
2025-06-13 09:06:44,21104,RtkAudUService64.exe,NATTBELL\natis,0.0,0.03768119040492582,Sospechoso
2025-06-13 09:06:44,21324,Code.exe,NATTBELL\natis,0.0,0.817737709761056,Sospechoso
2025-06-13 09:06:44,21496,SecurityHealthSystray.exe,NATTBELL\natis,0.0,0.09127545606144828,Sospechoso
2025-06-13 09:06:44,21528,Code.exe,NATTBELL\natis,0.0,0.38929941653677064,Sospechoso
2025-06-13 09:06:44,21556,cmd.exe,NATTBELL\natis,0.0,0.0641139016625398,Sospechoso
2025-06-13 09:06:44,21636,conhost.exe,NATTBELL\natis,0.0,0.048492363667460944,Sospechoso
2025-06-13 09:06:44,21820,msedgewebview2.exe,NATTBELL\natis,0.0,0.7215304151101817,Sospechoso
2025-06-13 09:06:44,21836,svchost.exe,unknown,0.0,0.026043994915590247,Legítimo
2025-06-13 09:06:44,21904,msedge.exe,NATTBELL\natis,0.0,0.07383181021313316,Sospechoso
2025-06-13 09:06:44,21964,msedgewebview2.exe,NATTBELL\natis,0.0,0.07502225401058085,Sospechoso
2025-06-13 09:06:44,22080,msedgewebview2.exe,NATTBELL\natis,0.0,0.05680117547821828,Sospechoso
2025-06-13 09:06:44,22220,msedge.exe,NATTBELL\natis,0.0,0.12766902358342047,Sospechoso
2025-06-13 09:06:44,22308,TrustedInstaller.exe,unknown,0.0,0.05376432905615785,Sospechoso
2025-06-13 09:06:44,22384,msedgewebview2.exe,NATTBELL\natis,0.0,0.5098986616496344,Sospechoso
